tm130647,tt1352824,6.3,72916.0,10.688,6.0
tm32919,tt0450259,8.0,536858.0,40.209,7.5
tm23935,tt0410297,6.8,148043.0,15.36,6.9
tm137143,tt0181852,6.3,393998.0,38.918,6.1
tm28905,tt0486551,6.2,67748.0,12.377,6.0
tm44486,tt0252503,6.5,36361.0,12.634,6.3
tm39487,tt0395495,5.9,26157.0,9.67,5.9
tm169949,tt0425123,6.7,106755.0,12.741,6.9
ts35155,tt0948103,8.3,17024.0,22.238,8.2
tm184913,tt0430105,6.8,144656.0,28.154,6.7
tm118637,tt0251160,7.0,131999.0,17.663,7.2
tm58382,tt0277371,5.7,104604.0,27.273,5.8
tm40009,tt0478087,6.8,247039.0,40.786,6.7
ts12787,tt0994314,8.7,62367.0,36.627,8.5
tm154470,tt0438488,6.5,357557.0,72.272,6.0
tm22294,tt0790604,5.0,27797.0,13.817,5.5
tm78067,tt0830558,6.5,26035.0,13.823,6.6
tm148379,tt0312528,4.0,81971.0,69.974,5.3
tm76428,NULL,NULL,NULL,20.424,6.1
tm21467,tt0414982,5.8,139797.0,50.649,6.1
tm46436,tt0245674,5.6,86492.0,46.785,6.2
tm57190,tt0267804,5.9,91584.0,21.013,6.1
tm37546,tt0366548,6.4,182612.0,76.506,6.1
tm30205,tt1220719,8.0,221095.0,20.113,7.7
tm159310,tt0393162,7.3,143670.0,26.022,7.5
tm89592,tt0359013,5.8,175210.0,34.514,5.9
tm167516,tt0369735,5.5,60693.0,18.681,6.2
tm79895,tt0373883,6.0,118815.0,30.617,6.2
tm88045,tt1341188,5.4,49599.0,11.864,5.3
tm111600,tt0253867,5.1,58516.0,11.061,5.5
tm143938,tt1144884,5.1,104166.0,51.108,5.6
tm31187,tt0467200,6.7,111694.0,18.67,6.6
tm141390,tt0758746,5.5,105938.0,42.83,5.8
tm74780,tt0825232,7.4,242733.0,19.365,7.2
tm150214,tt0329101,5.7,117986.0,50.824,6.0
ts21544,tt1659175,7.9,6500.0,31.514,8.0
tm176528,tt0397535,7.3,146847.0,25.556,7.7
tm102337,tt1179056,5.2,99192.0,46.304,5.5
